record_id,study,task,arm,display_name,seed,task_score,composite_score,generation_zero_task_score,path,skill_path,parameters_path,scene_bank_path,scene_index,cell_record_path,run_log_path,sha256,render_addressable,source,scene_config
e-expert-reference-door_push-seed-00,expert,door_push,expert-reference,Expert reference,0,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-00.yaml,data/skills/best/e-expert-reference-door_push-seed-00.yaml,data/parameters/e-expert-reference-door_push-seed-00.json,data/scenes/e-expert-reference-door_push-seed-00.json,0,data/records/expert/e-expert-reference-door_push-seed-00.json,data/logs/run/e-expert-reference-door_push-seed-00.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-01,expert,door_push,expert-reference,Expert reference,1,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-01.yaml,data/skills/best/e-expert-reference-door_push-seed-01.yaml,data/parameters/e-expert-reference-door_push-seed-01.json,data/scenes/e-expert-reference-door_push-seed-01.json,0,data/records/expert/e-expert-reference-door_push-seed-01.json,data/logs/run/e-expert-reference-door_push-seed-01.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-02,expert,door_push,expert-reference,Expert reference,2,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-02.yaml,data/skills/best/e-expert-reference-door_push-seed-02.yaml,data/parameters/e-expert-reference-door_push-seed-02.json,data/scenes/e-expert-reference-door_push-seed-02.json,0,data/records/expert/e-expert-reference-door_push-seed-02.json,data/logs/run/e-expert-reference-door_push-seed-02.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-03,expert,door_push,expert-reference,Expert reference,3,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-03.yaml,data/skills/best/e-expert-reference-door_push-seed-03.yaml,data/parameters/e-expert-reference-door_push-seed-03.json,data/scenes/e-expert-reference-door_push-seed-03.json,0,data/records/expert/e-expert-reference-door_push-seed-03.json,data/logs/run/e-expert-reference-door_push-seed-03.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-04,expert,door_push,expert-reference,Expert reference,4,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-04.yaml,data/skills/best/e-expert-reference-door_push-seed-04.yaml,data/parameters/e-expert-reference-door_push-seed-04.json,data/scenes/e-expert-reference-door_push-seed-04.json,0,data/records/expert/e-expert-reference-door_push-seed-04.json,data/logs/run/e-expert-reference-door_push-seed-04.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-05,expert,door_push,expert-reference,Expert reference,5,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-05.yaml,data/skills/best/e-expert-reference-door_push-seed-05.yaml,data/parameters/e-expert-reference-door_push-seed-05.json,data/scenes/e-expert-reference-door_push-seed-05.json,0,data/records/expert/e-expert-reference-door_push-seed-05.json,data/logs/run/e-expert-reference-door_push-seed-05.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-06,expert,door_push,expert-reference,Expert reference,6,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-06.yaml,data/skills/best/e-expert-reference-door_push-seed-06.yaml,data/parameters/e-expert-reference-door_push-seed-06.json,data/scenes/e-expert-reference-door_push-seed-06.json,0,data/records/expert/e-expert-reference-door_push-seed-06.json,data/logs/run/e-expert-reference-door_push-seed-06.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-07,expert,door_push,expert-reference,Expert reference,7,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-07.yaml,data/skills/best/e-expert-reference-door_push-seed-07.yaml,data/parameters/e-expert-reference-door_push-seed-07.json,data/scenes/e-expert-reference-door_push-seed-07.json,0,data/records/expert/e-expert-reference-door_push-seed-07.json,data/logs/run/e-expert-reference-door_push-seed-07.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-08,expert,door_push,expert-reference,Expert reference,8,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-08.yaml,data/skills/best/e-expert-reference-door_push-seed-08.yaml,data/parameters/e-expert-reference-door_push-seed-08.json,data/scenes/e-expert-reference-door_push-seed-08.json,0,data/records/expert/e-expert-reference-door_push-seed-08.json,data/logs/run/e-expert-reference-door_push-seed-08.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-door_push-seed-09,expert,door_push,expert-reference,Expert reference,9,1.0,0.84,,data/skills/best/e-expert-reference-door_push-seed-09.yaml,data/skills/best/e-expert-reference-door_push-seed-09.yaml,data/parameters/e-expert-reference-door_push-seed-09.json,data/scenes/e-expert-reference-door_push-seed-09.json,0,data/records/expert/e-expert-reference-door_push-seed-09.json,data/logs/run/e-expert-reference-door_push-seed-09.json,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,true,expert_reference,"{""robot"":""panda"",""object_xml"":""door""}"
e-expert-reference-grasp_place-seed-00,expert,grasp_place,expert-reference,Expert reference,0,1.0,0.7056285181273858,,data/skills/best/e-expert-reference-grasp_place-seed-00.yaml,data/skills/best/e-expert-reference-grasp_place-seed-00.yaml,data/parameters/e-expert-reference-grasp_place-seed-00.json,data/scenes/e-expert-reference-grasp_place-seed-00.json,0,data/records/expert/e-expert-reference-grasp_place-seed-00.json,data/logs/run/e-expert-reference-grasp_place-seed-00.json,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca,true,expert_reference,"{""robot"":""panda"",""object_xml"":""grasp_target_box"",""gripper"":""franka_hand"",""target_markers"":[[0.6,0.2,0.1]]}"
