companion_id,primary_record_id,task,arm,seed,canonical_task_score,path,sha256,source_sha256
g0-create-language-fixed-grasp_place-seed-01,p-create-language-fixed-grasp_place-seed-01,grasp_place,create-language-fixed,1,0.2468059341441793,data/companions/g0-create-language-fixed-grasp_place-seed-01.json,dfef28fd994e492e35251ad4347732fc9d792bcf351a785ad156e34c6980f43c,96b676d9a70be219769cf688f556964802259d39c23e707e95bae89704c5461a
g0-create-language-fixed-grasp_place-seed-05,p-create-language-fixed-grasp_place-seed-05,grasp_place,create-language-fixed,5,0.32286877413961296,data/companions/g0-create-language-fixed-grasp_place-seed-05.json,8cdb9951e8c1e1d51fc2d92eafb9fd2fb18713580e6af193527951b686fe08f6,c9644708417216cd40a9e728a5ca82329e2aaec8d978f8d6bbf5755f13c3d1b9
g0-create-language-fixed-obstacle_reach-seed-00,p-create-language-fixed-obstacle_reach-seed-00,obstacle_reach,create-language-fixed,0,0.87571198668638,data/companions/g0-create-language-fixed-obstacle_reach-seed-00.json,1cdf52dd98196c086413a88ecef6dea93bb6b29d1a44ca70e9fe8577ad53f768,14803cdb81af2d53125184d63b3f48ac9b9dcda896d6d7c62c53ca0449eee4a0
g0-create-language-fixed-obstacle_reach-seed-02,p-create-language-fixed-obstacle_reach-seed-02,obstacle_reach,create-language-fixed,2,0.8773419898555114,data/companions/g0-create-language-fixed-obstacle_reach-seed-02.json,1315a9872aad61c0fb53d6698a54b3a677cc3cbfed30560ff00238b6f4ef4ba1,9a0ba076a6171d4c30d0ba800fb9627e77b2dcb2587a8cf5a752276100fed8be
g0-create-language-fixed-obstacle_reach-seed-03,p-create-language-fixed-obstacle_reach-seed-03,obstacle_reach,create-language-fixed,3,0.8767202887899406,data/companions/g0-create-language-fixed-obstacle_reach-seed-03.json,ec041f8755017dbbdd90132c304c1e45d2a72559ef0e1f37b844f24020300318,f46dfcbf07783094ddec34ae0d59f3b8c0813315a79b060ffd4999bff838125e
g0-create-language-fixed-peg_insert-seed-09,p-create-language-fixed-peg_insert-seed-09,peg_insert,create-language-fixed,9,0.8330844934948805,data/companions/g0-create-language-fixed-peg_insert-seed-09.json,c4ab8616dc24f3e3c302743920bfd992cfeca00f4a0b666534cca32996b10b91,4533ab659861e659237ad583648bcd061017f18310ea8d2cee74dc6d61992a90
g0-random-language-fixed-grasp_place-seed-02,p-random-language-fixed-grasp_place-seed-02,grasp_place,random-language-fixed,2,0.1556797365129399,data/companions/g0-random-language-fixed-grasp_place-seed-02.json,e3b4296d66d5554cc953c33f250c36a51e5f637bb188f22918791b59701dd1c2,43503e31a77c529b8788156a0cd5a800cd8e213966ac8773f6350896a9121b39
g0-random-language-fixed-peg_channel-seed-02,p-random-language-fixed-peg_channel-seed-02,peg_channel,random-language-fixed,2,0.13289365613836948,data/companions/g0-random-language-fixed-peg_channel-seed-02.json,1f3a5041a8c15b9dc0bcbb8d4c13bf8cfed014aa15fedc7d57a14998a6c48544,b6cb79768beca21739e7faa583d48ce4ac6409a50641b0730240a2305612f221
g0-random-language-fixed-peg_insert-seed-02,p-random-language-fixed-peg_insert-seed-02,peg_insert,random-language-fixed,2,0.10123955520393668,data/companions/g0-random-language-fixed-peg_insert-seed-02.json,03e75152720918f72c4002b6691928093d7f19d8f3de379b016149c511775b94,92f3140221ba3fe8c8f6a4a45a476292f43cb6c0443aa9770ccd5ec8770974ab
g0-random-language-fixed-push_to_goal-seed-02,p-random-language-fixed-push_to_goal-seed-02,push_to_goal,random-language-fixed,2,0.5705480649838455,data/companions/g0-random-language-fixed-push_to_goal-seed-02.json,f9de9f9514d717a3eaffaad867c6eb6ef7e662297eae8fd9c643130a35ed8490,2c11c22321665122e6c5990d2452207a3c3c759d184346203a382a907e220cf1
