role,display_name,stage,task,n,mean,sample_sd
reference,Expert reference,optimisation,door_push,10,1.0,0.0
reference,Expert reference,optimisation,push_to_goal,10,0.820058505053623,0.061147843538181125
reference,Expert reference,optimisation,peg_insert,10,0.859314055034808,0.021031371414212047
reference,Expert reference,optimisation,peg_channel,10,0.45612760632785615,0.28542074853845917
reference,Expert reference,optimisation,obstacle_reach,10,0.8747604752605964,0.007740625252727482
reference,Expert reference,optimisation,grasp_place,10,0.9341547510833447,0.029886296985357965
reference,Expert reference,optimisation,macro,10,0.8240692321267048,0.04658487000555566
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,door_push,10,1.0,0.0
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,push_to_goal,10,0.7583353524012431,0.1482034641578497
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,peg_insert,10,0.8703775795174741,0.0450430696167983
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,peg_channel,10,0.1780031256681737,0.16652722044785476
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,obstacle_reach,10,0.8747538078931143,0.005930826453951184
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,grasp_place,10,0.2861333343417707,0.06994910654699531
primary,Create-LLMRefine-FixedST,same_run_iteration_zero,macro,10,0.661267199970296,0.04139014334569661
primary,Create-LLMRefine-FixedST,final,door_push,10,1.0,0.0
primary,Create-LLMRefine-FixedST,final,push_to_goal,10,0.8446514663315595,0.12245603753361557
primary,Create-LLMRefine-FixedST,final,peg_insert,10,0.894526478805782,0.05200364167107331
primary,Create-LLMRefine-FixedST,final,peg_channel,10,0.5582563061344497,0.26925325212686774
primary,Create-LLMRefine-FixedST,final,obstacle_reach,10,0.9569114586400677,0.020744895026918383
primary,Create-LLMRefine-FixedST,final,grasp_place,10,0.43828155789507905,0.22443251029662245
primary,Create-LLMRefine-FixedST,final,macro,10,0.7821045446344896,0.048214204877223166
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,door_push,10,0.35770451171940276,0.10167685479792352
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,push_to_goal,10,0.27139513366597573,0.3595986609414354
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,peg_insert,10,0.6085867295757454,0.4140017173888362
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,peg_channel,10,0.21950073530986236,0.2637935073885825
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,obstacle_reach,10,1.2644639184679059e-18,3.998586001460029e-18
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,grasp_place,10,0.18057106757546765,0.036064283397111256
secondary_descriptive,Random-LLMRefine-FixedST,same_run_iteration_zero,macro,10,0.2729596963077423,0.1342491275942049
secondary_descriptive,Random-LLMRefine-FixedST,final,door_push,10,0.9979657245835316,0.0064329437041274334
secondary_descriptive,Random-LLMRefine-FixedST,final,push_to_goal,10,0.8877887333975751,0.09265690563268512
secondary_descriptive,Random-LLMRefine-FixedST,final,peg_insert,10,0.9283721720741516,0.04422096403138327
secondary_descriptive,Random-LLMRefine-FixedST,final,peg_channel,10,0.5038994140560745,0.32954872679066116
secondary_descriptive,Random-LLMRefine-FixedST,final,obstacle_reach,10,0.9181163210477372,0.1177096522004533
secondary_descriptive,Random-LLMRefine-FixedST,final,grasp_place,10,0.7510958876263159,0.2964261431897268
secondary_descriptive,Random-LLMRefine-FixedST,final,macro,10,0.8312063754642309,0.07419650913302267
