scope,task,input_category,status,quantity,unit,evidence,evidence_sha256
expert-reference,door_push,authored_phase_count,author_designed_expert-reference,4,yaml_phases,expert_skills/door_push.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b
expert-reference,door_push,authored_field_count,author_designed_expert-reference,83,recursive_yaml_mapping_keys,expert_skills/door_push.yaml,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b
expert-reference,push_to_goal,authored_phase_count,author_designed_expert-reference,4,yaml_phases,expert_skills/push_to_goal.yaml,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89
expert-reference,push_to_goal,authored_field_count,author_designed_expert-reference,78,recursive_yaml_mapping_keys,expert_skills/push_to_goal.yaml,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89
expert-reference,peg_insert,authored_phase_count,author_designed_expert-reference,5,yaml_phases,expert_skills/peg_insert.yaml,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1
expert-reference,peg_insert,authored_field_count,author_designed_expert-reference,140,recursive_yaml_mapping_keys,expert_skills/peg_insert.yaml,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1
expert-reference,peg_channel,authored_phase_count,author_designed_expert-reference,4,yaml_phases,expert_skills/peg_channel.yaml,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4
expert-reference,peg_channel,authored_field_count,author_designed_expert-reference,98,recursive_yaml_mapping_keys,expert_skills/peg_channel.yaml,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4
expert-reference,obstacle_reach,authored_phase_count,author_designed_expert-reference,2,yaml_phases,expert_skills/obstacle_reach.yaml,5ca02164a20961fafedcaad377be526870233719c13007ebf8b216c13ee41dcd
expert-reference,obstacle_reach,authored_field_count,author_designed_expert-reference,48,recursive_yaml_mapping_keys,expert_skills/obstacle_reach.yaml,5ca02164a20961fafedcaad377be526870233719c13007ebf8b216c13ee41dcd
expert-reference,grasp_place,authored_phase_count,author_designed_expert-reference,5,yaml_phases,expert_skills/grasp_place.yaml,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca
expert-reference,grasp_place,authored_field_count,author_designed_expert-reference,126,recursive_yaml_mapping_keys,expert_skills/grasp_place.yaml,8aa175ffdfd40de7ef4c88f45ded0c76fcf759651774e00d2f887a022e6126ca
create-language-fixed,all,initialisation_mode,no_hand_authored_task_specific_seed_program,llm_create,metadata_init_mode,<source-record-removed>,c64c6105dd34cdb36f483d89457a5f0e9e9a443184690e4f460ccb17610ed7ad
random-language-fixed,all,initialisation_mode,no_hand_authored_task_specific_seed_program,random,metadata_init_mode,<source-record-removed>,ad5332ef15e9a8c07738ebd1cb8317bdd7974bffac2b61e9e947cbbc04d3fb81
