arm,display_name,initialisation,refinement,task,seed,best_canonical_task_score,generation_zero_canonical_task_score,generation_zero_source
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,0,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,1,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,2,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,3,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,4,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,5,0.9906617748655466,0.9906617748655466,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,6,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,7,0.9846397063503076,0.9846397063503076,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,8,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,door_push,9,1.0,1.0,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,0,0.7719109424330709,0.7719109424330709,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,1,0.8653226909466496,0.8653226909466496,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,2,0.882602082473002,0.882602082473002,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,3,0.6545775714348957,0.6545775714348957,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,4,0.8379997110807825,0.8379997110807825,same_run_iteration_zero
create-param-only-fixed,Create-ParamOnly-FixedST,Create,ParamOnly-FixedST,push_to_goal,5,0.8975812635370471,0.8975812635370471,same_run_iteration_zero
