arm,display_name,initialization,refinement,task,n,mean_task_score,sample_sd_task_score,mean_generation_zero_task_score,sample_sd_generation_zero_task_score
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,door_push,10,1.0,0.0,0.9975301481215855,0.005396906383943353
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,grasp_place,10,0.39924339998299224,0.07885131512747619,0.28787563937744926,0.07698665086771347
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,obstacle_reach,10,0.9403086448044351,0.042696671729476006,0.8465716375048792,0.09177507950410574
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,peg_channel,10,0.27466356068854575,0.22432736715892865,0.16183209412183241,0.21746825524853833
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,peg_insert,10,0.9050196438146776,0.04325818780093282,0.8709304445774628,0.054527306830249145
create-bandit-fixed,Create-BanditRefine-FixedST,Create,BanditRefine-FixedST,push_to_goal,10,0.8786043750661223,0.04513732445083413,0.7994539478846062,0.11621277927401547
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,door_push,10,1.0,0.0,1.0,0.0
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,grasp_place,10,0.43828155789507905,0.22443251029662245,0.2861333343417707,0.06994910654699531
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,obstacle_reach,10,0.9569114586400678,0.020744895026918387,0.8747538078931143,0.005930826453951184
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,peg_channel,10,0.5582563061344498,0.2692532521268678,0.17800312566817367,0.16652722044785476
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,peg_insert,10,0.8945264788057821,0.052003641671073304,0.8703775795174742,0.0450430696167983
create-language-fixed,Create-LLMRefine-FixedST,Create,LLMRefine-FixedST,push_to_goal,10,0.8446514663315594,0.12245603753361557,0.7583353524012431,0.1482034641578497
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,door_push,10,1.0,0.0,0.8462575775727027,0.23108713447188728
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,grasp_place,10,0.6203937468421029,0.30814299394832706,0.20602663546560665,0.04354378201605945
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,obstacle_reach,10,0.9517184687841161,0.03735954348107529,0.8702583460164315,0.012913014996413038
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,peg_channel,10,0.5420645858950035,0.2555355735457411,0.3026056107708072,0.21677311964317283
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,peg_insert,10,0.9010900122897175,0.05054869983970141,0.8803093231304571,0.044233050141670976
create-language-free,Create-LLMRefine-FreeST,Create,LLMRefine-FreeST,push_to_goal,10,0.8462945494483987,0.0731889589365627,0.4832139236862205,0.16201777204299334
