condition,display_name,class,task,n,mean_task_score,sample_sd_task_score,mean_generation_zero_task_score,sample_sd_generation_zero_task_score
full-context,Full Context,Control,door_push,10,0.9970695829453057,0.009266792387036243,0.3577044527274926,0.10167680878148415
full-context,Full Context,Control,grasp_place,10,0.72488219603458,0.29796274433162273,0.18070549842782418,0.03605682335709161
full-context,Full Context,Control,obstacle_reach,10,0.8627727511208207,0.15436016683761947,1.264463918467906e-18,3.998586001460029e-18
full-context,Full Context,Control,peg_channel,10,0.5012683442604308,0.1333380998169896,0.21927564456535759,0.2632975415142621
full-context,Full Context,Control,peg_insert,10,0.923293750878895,0.03739592184740942,0.6084647732485763,0.414004874313593
full-context,Full Context,Control,push_to_goal,10,0.8071394936531671,0.13725334900959354,0.2714425937302026,0.3596767336625565
no-history,No-History,Ablation,door_push,10,1.0,0.0,0.35770451171940276,0.10167685479792352
no-history,No-History,Ablation,grasp_place,10,0.7420353589308284,0.3129818024372448,0.18071395709905066,0.03605652151017101
no-history,No-History,Ablation,obstacle_reach,10,0.9154298007168042,0.11679504549356327,1.264463918467906e-18,3.998586001460029e-18
no-history,No-History,Ablation,peg_channel,10,0.5225541260475242,0.22971879635027284,0.21981881583733928,0.2644960477326594
no-history,No-History,Ablation,peg_insert,10,0.9336826231059991,0.04064412316564312,0.608584076001591,0.4140005862870865
no-history,No-History,Ablation,push_to_goal,10,0.7951904850425242,0.17236686967373074,0.27174333574632065,0.360172520422309
no-scene-description,No-SceneDescription,Ablation,door_push,10,0.9016437362606785,0.1808688120684805,0.35770649530136095,0.10167840227141252
no-scene-description,No-SceneDescription,Ablation,grasp_place,10,0.4116569378338139,0.20466403196754338,0.1807315196772374,0.03605595815688243
no-scene-description,No-SceneDescription,Ablation,obstacle_reach,10,0.9353794256139696,0.08882632906343983,1.264463918467906e-18,3.998586001460029e-18
no-scene-description,No-SceneDescription,Ablation,peg_channel,10,0.4357886599088512,0.23658849848968252,0.21967576762627516,0.264179856291846
no-scene-description,No-SceneDescription,Ablation,peg_insert,10,0.9341237977565384,0.04331657028671626,0.6085870637043009,0.41400345058052834
no-scene-description,No-SceneDescription,Ablation,push_to_goal,10,0.7830097688274779,0.19183379066345557,0.27050987325314263,0.3581507984770918
no-contact-information,No-ContactInfo,Ablation,door_push,10,0.9992661723992745,0.0023205666281892823,0.35770649530136095,0.10167840227141252
no-contact-information,No-ContactInfo,Ablation,grasp_place,10,0.817636503205083,0.2754126051770563,0.18057106757546765,0.036064283397111256
no-contact-information,No-ContactInfo,Ablation,obstacle_reach,10,0.9561259939425715,0.02207332865654301,1.264463918467906e-18,3.998586001460029e-18
no-contact-information,No-ContactInfo,Ablation,peg_channel,10,0.5619819784888906,0.17917645108427238,0.21987479895057346,0.2646198995685996
no-contact-information,No-ContactInfo,Ablation,peg_insert,10,0.8989626929925774,0.053959265989201234,0.6085885813670764,0.41400339823311805
no-contact-information,No-ContactInfo,Ablation,push_to_goal,10,0.7934450017265209,0.17777446394909124,0.27141879706110705,0.3596375819725786
wrong-scene-targets,Wrong-Scene-Targets,Stress,door_push,10,0.9696601413875799,0.0796167528796278,0.35770451171940276,0.10167685479792352
wrong-scene-targets,Wrong-Scene-Targets,Stress,grasp_place,10,0.346221513376941,0.24412566177019832,0.18071488380955067,0.03605648964653471
wrong-scene-targets,Wrong-Scene-Targets,Stress,obstacle_reach,10,0.9022484172473519,0.05183388080418044,1.264463918467906e-18,3.998586001460029e-18
wrong-scene-targets,Wrong-Scene-Targets,Stress,peg_channel,10,0.4246575635510631,0.2397647056190881,0.22010284587475995,0.2651250330683066
wrong-scene-targets,Wrong-Scene-Targets,Stress,peg_insert,10,0.9428383856963316,0.04541018527492789,0.6085838255228165,0.4140005949297945
wrong-scene-targets,Wrong-Scene-Targets,Stress,push_to_goal,10,0.8073928625790845,0.16620857007168105,0.2709709374563376,0.3589028830400396
misattributed-contact,Misattributed-Contact,Stress,door_push,10,1.0,0.0,0.35770451171940276,0.10167685479792352
misattributed-contact,Misattributed-Contact,Stress,grasp_place,10,0.7063755215286021,0.3234004477445149,0.18072686828803367,0.036056099031956244
misattributed-contact,Misattributed-Contact,Stress,obstacle_reach,10,0.8943733984900583,0.12515046224161486,1.264463918467906e-18,3.998586001460029e-18
misattributed-contact,Misattributed-Contact,Stress,peg_channel,10,0.5145134704382259,0.2515877321965292,0.21992806080396143,0.2647377872504785
misattributed-contact,Misattributed-Contact,Stress,peg_insert,10,0.914526246759534,0.04544517102155435,0.6085873750574676,0.4140034398367613
misattributed-contact,Misattributed-Contact,Stress,push_to_goal,10,0.8365287751546397,0.1599325794871202,0.2707011806891053,0.3584623294713936
misaligned-history,Misaligned-History,Stress,door_push,10,0.9993931483732459,0.0019190333423214747,0.35770451171940276,0.10167685479792352
misaligned-history,Misaligned-History,Stress,grasp_place,10,0.8062808756328823,0.3021235278526701,0.18071747324275628,0.03605640187494918
misaligned-history,Misaligned-History,Stress,obstacle_reach,10,0.9323565025463417,0.050243586799785286,1.264463918467906e-18,3.998586001460029e-18
misaligned-history,Misaligned-History,Stress,peg_channel,10,0.4771948801154552,0.2629081642061922,0.21957021425510928,0.2639467970546504
misaligned-history,Misaligned-History,Stress,peg_insert,10,0.9085742779026486,0.047261965611684977,0.6085844575546309,0.41400057312460564
misaligned-history,Misaligned-History,Stress,push_to_goal,10,0.9028819281753317,0.05918402803069306,0.2717231657624747,0.3601392120793638
