arm,initialization,method,subtask_mode,aggregation,n_tasks,n_cells,first_best_attempt_equal_task_mean,first_best_attempt_task_mean_sample_sd,selected_best_canonical_score_equal_task_mean,selected_best_canonical_score_task_mean_sample_sd,terminal_candidate_score_equal_task_mean,terminal_candidate_score_task_mean_sample_sd,best_minus_terminal_absolute_drop_equal_task_mean,best_minus_terminal_absolute_drop_task_mean_sample_sd,retained_best_indicator_equal_task_mean,retained_best_indicator_task_mean_sample_sd,number_of_budgeted_records_equal_task_mean,number_of_budgeted_records_task_mean_sample_sd
create-bandit-fixed,Create,BanditRefine,FixedST,equal_task_mean_of_six_task_means,6,60,5.6,2.7429910681589904,0.7329732707261288,0.3119368594687286,0.6066099654437347,0.3296955611668545,0.12636330528239414,0.06755586326648153,0.11666666666666667,0.14719601443879746,15.0,0.0
create-language-fixed,Create,LLMRefine,FixedST,equal_task_mean_of_six_task_means,6,60,8.583333333333334,4.541108528395536,0.7821045446344896,0.22930720679458383,0.6294193747723656,0.3143239985403644,0.15268516986212402,0.14954571646110393,0.2833333333333333,0.1834847859269718,14.733333333333333,0.25819888974716093
create-language-free,Create,LLMRefine,FreeST,equal_task_mean_of_six_task_means,6,60,9.3,3.2081147111660457,0.8102602272098898,0.18629993028023686,0.6779458708128636,0.26998640130575047,0.13231435639702618,0.10483970988274169,0.26666666666666666,0.2804757862395017,14.633333333333333,0.24221202832779937
create-mapqd-fixed,Create,MAP-QD,FixedST,equal_task_mean_of_six_task_means,6,60,5.45,2.531205246517951,0.7405119754440154,0.291848160302084,0.4415842276699479,0.3009478857653088,0.29892774777406744,0.22359303184645976,0.15,0.19748417658131498,15.0,0.0
random-bandit-fixed,Random,BanditRefine,FixedST,equal_task_mean_of_six_task_means,6,60,7.533333333333333,1.5526321736543616,0.5012850805427669,0.2926962981857931,0.41811704406214195,0.28964879393708615,0.08316803648062497,0.06449494945797211,0.18333333333333335,0.17224014243685085,15.0,0.0
random-language-fixed,Random,LLMRefine,FixedST,equal_task_mean_of_six_task_means,6,60,9.116666666666667,1.8411047408191274,0.831206375464231,0.17975111219017678,0.6509074880793859,0.2378369554807211,0.1802988873848451,0.10249097172564367,0.35,0.2073644135332772,14.65,0.1048808848170153
random-language-free,Random,LLMRefine,FreeST,equal_task_mean_of_six_task_means,6,60,8.25,2.440286868382486,0.7599282814938642,0.1737317177143285,0.5988968384894134,0.2641854979451635,0.16103144300445071,0.10770459037582206,0.2833333333333333,0.23166067138525404,14.7,0.16733200530681516
random-mapqd-fixed,Random,MAP-QD,FixedST,equal_task_mean_of_six_task_means,6,60,7.7,1.687601848778319,0.5028582788700522,0.301239055672202,0.36435486185161464,0.3158271985235653,0.13850341701843752,0.10175895198068562,0.21666666666666667,0.17224014243685085,15.0,0.0
scaffold-bandit-fixed,Scaffold,BanditRefine,FixedST,equal_task_mean_of_six_task_means,6,60,8.483333333333333,1.5038838607640774,0.6180801796917708,0.3277877669225913,0.4769120215238952,0.3013765731077736,0.14116815816787553,0.10284975469587211,0.1,0.08944271909999159,15.0,0.0
scaffold-language-fixed,Scaffold,LLMRefine,FixedST,equal_task_mean_of_six_task_means,6,60,7.8,2.438852189043034,0.8206939504125944,0.13890704742853469,0.6308254646633942,0.26741190087841465,0.18986848574920012,0.14241577620220275,0.2833333333333333,0.2786873995477131,14.6,0.12649110640673472
scaffold-language-free,Scaffold,LLMRefine,FreeST,equal_task_mean_of_six_task_means,6,60,7.55,2.4655628160726306,0.8276794339819226,0.17276316520339643,0.6261633762033887,0.3536243847903317,0.20151605777853387,0.20093511499797534,0.31666666666666665,0.31251666622224594,14.516666666666667,0.1834847859269717
scaffold-mapqd-fixed,Scaffold,MAP-QD,FixedST,equal_task_mean_of_six_task_means,6,60,7.8,2.0513410247932935,0.6257760174713882,0.31006961161058993,0.40306710372824234,0.27656107929896084,0.22270891374314591,0.19254949321956538,0.08333333333333334,0.09831920802501751,15.0,0.0
