arm,initialization,method,subtask_mode,task,n_seeds,n_cells_with_15_budgeted_records,first_best_attempt_mean,first_best_attempt_sample_sd,selected_best_canonical_score_mean,selected_best_canonical_score_sample_sd,terminal_candidate_score_mean,terminal_candidate_score_sample_sd,best_minus_terminal_absolute_drop_mean,best_minus_terminal_absolute_drop_sample_sd,retained_best_indicator_mean,retained_best_indicator_sample_sd,number_of_budgeted_records_mean,number_of_budgeted_records_sample_sd
create-bandit-fixed,Create,BanditRefine,FixedST,door_push,10,10,0.5,1.0801234497346435,1.0,0.0,0.9586138783777374,0.04337821493050238,0.041386121622262614,0.04337821493050238,0.4,0.5163977794943222,15.0,0.0
create-bandit-fixed,Create,BanditRefine,FixedST,grasp_place,10,10,8.0,5.456901847914967,0.39924339998299224,0.07885131512747619,0.2569695988996166,0.0740780615158177,0.14227380108337562,0.09245464412931807,0.1,0.31622776601683794,15.0,0.0
create-bandit-fixed,Create,BanditRefine,FixedST,obstacle_reach,10,10,8.0,4.2946995755750415,0.9403086448044351,0.042696671729476006,0.7332219549450056,0.3883439551609676,0.20708668985942946,0.3797427782585732,0.0,0.0,15.0,0.0
create-bandit-fixed,Create,BanditRefine,FixedST,peg_channel,10,10,5.5,3.7490739597339973,0.27466356068854575,0.22432736715892865,0.14470456443571753,0.20513355500453603,0.12995899625282822,0.09349595910025048,0.1,0.31622776601683794,15.0,0.0
create-bandit-fixed,Create,BanditRefine,FixedST,peg_insert,10,10,5.8,5.769652406245015,0.9050196438146776,0.04325818780093282,0.8522340153496589,0.046324560708874536,0.05278562846501862,0.0343209866691212,0.0,0.0,15.0,0.0
create-bandit-fixed,Create,BanditRefine,FixedST,push_to_goal,10,10,5.8,6.178816859057871,0.8786043750661223,0.04513732445083413,0.693915780654672,0.2561696803782865,0.18468859441145036,0.22801996714355255,0.1,0.31622776601683794,15.0,0.0
create-language-fixed,Create,LLMRefine,FixedST,door_push,10,7,0.0,0.0,1.0,0.0,0.8864386948826084,0.20017487675340792,0.11356130511739158,0.20017487675340792,0.6,0.5163977794943222,14.7,0.48304589153964794
create-language-fixed,Create,LLMRefine,FixedST,grasp_place,10,7,8.5,4.428443418528808,0.43828155789507905,0.22443251029662245,0.3353687877000204,0.25043708675475584,0.1029127701950587,0.10997859492949776,0.1,0.31622776601683794,14.7,0.48304589153964794
create-language-fixed,Create,LLMRefine,FixedST,obstacle_reach,10,3,11.7,2.359378449224852,0.9569114586400678,0.020744895026918387,0.9532211169177948,0.020782666449252203,0.0036903417222730384,0.00955111000467072,0.3,0.48304589153964794,14.3,0.48304589153964794
create-language-fixed,Create,LLMRefine,FixedST,peg_channel,10,10,12.4,3.1340424729448424,0.5582563061344498,0.2692532521268678,0.22923597574371854,0.26879279212702034,0.3290203303907312,0.32233651538038466,0.3,0.48304589153964794,15.0,0.0
create-language-fixed,Create,LLMRefine,FixedST,peg_insert,10,10,10.8,4.984420171338332,0.8945264788057821,0.052003641671073304,0.8732723500240004,0.040224834685386034,0.02125412878178169,0.05143993436239153,0.1,0.31622776601683794,15.0,0.0
create-language-fixed,Create,LLMRefine,FixedST,push_to_goal,10,7,8.1,5.820461990063828,0.8446514663315594,0.12245603753361557,0.4989793233660514,0.408116700339015,0.34567214296550797,0.43584685697539916,0.3,0.48304589153964794,14.7,0.48304589153964794
create-language-free,Create,LLMRefine,FreeST,door_push,10,3,3.3,5.271516754112509,1.0,0.0,0.8838960525875398,0.2428072535550407,0.11610394741246025,0.2428072535550407,0.7,0.48304589153964794,14.3,0.48304589153964794
create-language-free,Create,LLMRefine,FreeST,grasp_place,10,8,10.3,2.8303906287138374,0.6203937468421029,0.30814299394832706,0.44132296735096815,0.29605173532556966,0.17907077949113476,0.19010825376027807,0.1,0.31622776601683794,14.8,0.4216370213557839
create-language-free,Create,LLMRefine,FreeST,obstacle_reach,10,4,10.5,4.576510072581994,0.9517184687841161,0.03735954348107529,0.9422233086959466,0.033197226887984994,0.009495160088169497,0.02074879737676837,0.4,0.5163977794943222,14.4,0.5163977794943222
create-language-free,Create,LLMRefine,FreeST,peg_channel,10,6,8.3,5.186520991955976,0.5420645858950035,0.2555355735457411,0.29348906442403555,0.26738913712355444,0.2485755214709679,0.14682366110937245,0.0,0.0,14.6,0.5163977794943222
create-language-free,Create,LLMRefine,FreeST,peg_insert,10,8,12.2,2.573367875415838,0.9010900122897175,0.05054869983970141,0.889441074655647,0.045291628534818766,0.011648937634070511,0.022868216326528263,0.4,0.5163977794943222,14.8,0.4216370213557839
create-language-free,Create,LLMRefine,FreeST,push_to_goal,10,9,11.2,2.5298221281347035,0.8462945494483987,0.0731889589365627,0.6173027571630444,0.3455061744040403,0.22899179228535427,0.33298147147836166,0.0,0.0,14.9,0.31622776601683794
create-mapqd-fixed,Create,MAP-QD,FixedST,door_push,10,10,1.0,2.160246899469287,1.0,0.0,0.7104592489907654,0.4533019483267117,0.2895407510092346,0.4533019483267117,0.5,0.5270462766947299,15.0,0.0
create-mapqd-fixed,Create,MAP-QD,FixedST,grasp_place,10,10,6.6,3.0983866769659336,0.4037094920070696,0.108947617263953,0.24362457514839156,0.05941930290941245,0.16008491685867804,0.12105098971584398,0.0,0.0,15.0,0.0
create-mapqd-fixed,Create,MAP-QD,FixedST,obstacle_reach,10,10,7.2,5.593647190240808,0.9219325093730629,0.04798654499944611,0.23459494480794077,0.379929342155653,0.6873375645651222,0.386037298579283,0.2,0.4216370213557839,15.0,0.0
create-mapqd-fixed,Create,MAP-QD,FixedST,peg_channel,10,10,5.6,2.913569784454954,0.33356285384155593,0.2364260462281779,0.10575190353969288,0.15937443295965575,0.22781095030186305,0.15348786179917906,0.0,0.0,15.0,0.0
