cell_id,source_container_path,source_container_original_sha256,entry_index,entry_iteration,evidence_field,configuration_count,configuration_sha256s,public_path,public_sha256,derivation
p-create-bandit-fixed-door_push-seed-00,data/logs/run/p-create-bandit-fixed-door_push-seed-00.json,cccde7c48030b00f8db1024bc1a16ba35a375048ad11bb8f04c22319bf4f61ec,10,10,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-00.json,cc012d96d34a238e62036148f856432401df984141ebb79aef386281d14bd626,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-01,data/logs/run/p-create-bandit-fixed-door_push-seed-01.json,d093af94aa5e46cffed04aa1eb1b2f439e49b4c2ad87a50744ba744529efb67d,8,8,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-01.json,b01c62bfe608a9e26be797588c894685dd68981a2b61e15e95c630fba805a4ed,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-02,data/logs/run/p-create-bandit-fixed-door_push-seed-02.json,9ea75741b6599948753c41ac7b3d670f8b368db4a08ca567dd012026899b94f0,14,14,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-02.json,814c706c06cfbb4321a2939576e0afda255db97326950be3d1ad2388a9ffc62a,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-03,data/logs/run/p-create-bandit-fixed-door_push-seed-03.json,f4aa588d02050a416b437b05d66d1ea7a85c1844085279319f9cb795dea90ff9,7,7,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-door_push-seed-03.json,caf1f305cc6de125db054fa4bddc44741c147e414562c000224d2e4f5d46eadb,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-04,data/logs/run/p-create-bandit-fixed-door_push-seed-04.json,c4e36d77b24dd2107110e62e399154188e5286dc994fa652331d237403aea941,15,15,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-04.json,9f00186a3b3dc010b093e90fa501355fd0aae20ce3b9ad0cc58015673113d5a6,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-05,data/logs/run/p-create-bandit-fixed-door_push-seed-05.json,b880657269487fbd653ec76f443ed4c0d93cef6faab431e7d06f40b95a41de40,8,8,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-05.json,89ea15d3384e94c424e0f0acea0ce4aed9a61fdf2e9510eed4659da4b20d2704,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-06,data/logs/run/p-create-bandit-fixed-door_push-seed-06.json,18e7b1a0739292510533e34e8bef35e7706bc29cfc284590d19d1bef2cfd9f20,8,8,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-door_push-seed-06.json,c06325b6d72e8fed8320bb0729a48f9ae687b74129f2ab9714f6025a8cd1e35e,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-07,data/logs/run/p-create-bandit-fixed-door_push-seed-07.json,3f95fe16aa5a3aa411d25c6b97273430f7834df61b8c96c5601e386eda0be632,3,3,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-07.json,766df17d3bb8f9c99fc64c1e133467861791f8d099d9e5638290aed19bc5f1dc,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-08,data/logs/run/p-create-bandit-fixed-door_push-seed-08.json,7d80c571a5deb179560d730eba0fe64e9a8290099df77ddfc97be502019a7d67,15,15,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-08.json,20906712191a8bb5ff333493be52136f60ab418959da01491573ad7db2614942,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-door_push-seed-09,data/logs/run/p-create-bandit-fixed-door_push-seed-09.json,8304a6b3342c5ec785ee4e022368b647e079a4ce3f95167e4abd1433240ac5cf,8,8,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-door_push-seed-09.json,0210397bb107dde263db757036f597d48dd318bb280f75677a0a53b9cc6291b4,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-00,data/logs/run/p-create-bandit-fixed-grasp_place-seed-00.json,e6bbd96058f8097d9e61ffb914bc0f1d8bead1a399f8d34223c0b4ec30e00163,1,1,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-00.json,d2363e2cf96c61ce7835b17799536cf4f64dced9d9b84e653eba69c5efde2522,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-01,data/logs/run/p-create-bandit-fixed-grasp_place-seed-01.json,dc1cbdfe3614b9982c70f79b4872e1a5efaa3de48cf00ef684bcfacbb2472981,15,15,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-grasp_place-seed-01.json,ed8933e2c69608ee2d8b0e169e00139694240b865ca2e46b8685b2384fd2fd9d,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-02,data/logs/run/p-create-bandit-fixed-grasp_place-seed-02.json,09ec4853ea1414a6ebb2eb440b517bedf4427919596c82b08dfeb722cfae8f11,13,13,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-02.json,644b662a7fc482c971a42cc64740b8b8c99d2c99bd0e3820361c1e37f30fc928,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-03,data/logs/run/p-create-bandit-fixed-grasp_place-seed-03.json,e8dd856db4fa090cebf26c50566fbcc8e310cc1eda93fc6192e203560b05986d,11,11,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-03.json,b55f808ab6b4b7b8e5d3ee296efd795aa4f67ba9559d92600852acb8d186876b,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-04,data/logs/run/p-create-bandit-fixed-grasp_place-seed-04.json,46ef8fdb20d53ae47e92e4df0253d02f4d26ec3cc3f8e001b571749a07d5f5c8,14,14,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-grasp_place-seed-04.json,4912d132049ba45755c20f2121f7386d9add31ac0977c732d223b6ec857faaaa,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-05,data/logs/run/p-create-bandit-fixed-grasp_place-seed-05.json,c0174f4fa3558213ac2110c57385eaaa4c717e662aeb23c5d285307b86ced520,4,4,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-grasp_place-seed-05.json,b96ee24966e0494b2ef431ea2d6f9deb0364ffaefdc23d59d6a977f16e6b08ff,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-06,data/logs/run/p-create-bandit-fixed-grasp_place-seed-06.json,582c5301c91a69e9982be4a27c08cd4d3074f401a2b60aa2feb8a57a4ec22b10,7,7,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-06.json,a2878793f7ad5f133eb93c67b6039c7bebf1f5e4633301bebc6bf918953d520e,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-07,data/logs/run/p-create-bandit-fixed-grasp_place-seed-07.json,deb99cd0f7315b12f2c2a5de8f5c945716d0c08685a782a80c4bb8cb7b0706da,1,1,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-07.json,92a400df1e5f1a7f21c2e8ea12a530f303e548e0f378aff5c920d78820fd4477,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-08,data/logs/run/p-create-bandit-fixed-grasp_place-seed-08.json,4ac62a61fbac660212e873a7167e492e9cb7d2604c11b4f26a91f3c98f3e9165,11,11,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-grasp_place-seed-08.json,c74235f290ed7a77d0dac07adda5c9063c0eefe5af03be4bc5133845c5c38b67,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-grasp_place-seed-09,data/logs/run/p-create-bandit-fixed-grasp_place-seed-09.json,5f0c4c4824aa728c6eb2e771edc089b18c47dcf6ee4d3a0647799621c8809a75,3,3,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,None|None|None,data/scenes/p-create-bandit-fixed-grasp_place-seed-09.json,bce491b8cd2f2b778ee9ac8137220dd59a2bf06df5be274706f3d7f95c4b0169,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
p-create-bandit-fixed-obstacle_reach-seed-00,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-00.json,47a242ee73ef1f2cc184dda58fbd9d7a1cb7cb180a3075851566e5ee26d5d22f,12,12,posthoc_diagnostics.randomised_config_results[*].randomisation_debug,3,||,data/scenes/p-create-bandit-fixed-obstacle_reach-seed-00.json,4a98389378a41c5b55bc7969e97a695181c7804ba0888c6b89bef49e3d3de562,lossless reconstruction of frozen body and qpos deltas; public bytes are derived and are not claimed source-identical
